category,sub-category,product,product_link
digital-services,digital-services,cimb-clicks,https://www.cimb.com.my/en/personal//en/personal/digital-services/cimb-clicks.html
digital-services,digital-services,cimb-eva,https://www.cimb.com.my/en/personal//en/personal/digital-services/cimb-eva.html
digital-services,digital-services,cimb-partner-pay-solution,https://www.cimb.com.my/en/personal//en/personal/digital-services/cimb-partner-pay-solution.html
digital-services,digital-services,apply-for-products,https://www.cimb.com.my/en/personal//en/personal/digital-services/apply-for-products.html
digital-services,digital-services,cimb-qrpay,https://www.cimb.com.my/en/personal//en/personal/digital-services/cimb-qrpay.html
accounts,accounts,savings-account,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/accounts/savings-account.html
accounts,accounts,current-account,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/accounts/current-account.html
accounts,accounts,fixed-term-deposit,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/accounts/fixed-term-deposit.html
cards,cards,credit-card,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/cards/credit-card.html
cards,cards,debit-card,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/cards/debit-card.html
cards,cards,prepaid-card,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/cards/prepaid-card.html
cards,cards,credit-card-services,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/cards/credit-card-services.html
financing,financing,personal-financing,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/financing/personal-financing.html
financing,financing,property-financing,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/financing/property-financing.html
financing,financing,auto-financing,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/financing/auto-financing.html
investments,investments,unit-trusts,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/investments/unit-trusts.html
investments,investments,shariah-compliant-unit-trusts,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/investments/shariah-compliant-unit-trusts.html
investments,investments,e-gold-investment-account-egia,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/investments/e-gold-investment-account-egia.html
investments,investments,amanah-saham-nasional-berhad,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/investments/amanah-saham-nasional-berhad.html
investments,investments,term-investment-account-i,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/investments/term-investment-account-i.html
investments,investments,bonds,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/investments/bonds.html
investments,investments,reverse-repo,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/investments/reverse-repo.html
investments,investments,floating-rate-negotiable-instruments-of-deposit-frnid,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/investments/floating-rate-negotiable-instruments-of-deposit-frnid.html
investments,investments,islamic-negotiable-instruments,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/investments/islamic-negotiable-instruments.html
investments,investments,structured-product,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/investments/structured-product.html
investments,investments,islamic-structured-product,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/investments/islamic-structured-product.html
investments,investments,private-retirement-scheme,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/investments/private-retirement-scheme.html
investments,investments,special-mudharabah-investment-account-i,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/investments/special-mudharabah-investment-account-i.html
investments,investments,clicks-trader,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/investments/clicks-trader.html
investments,investments,internet-ipo-application,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/investments/internet-ipo-application.html
investments,investments,retail-myr-denominated-negotiable-instruments-of-deposit-nid,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/investments/retail-myr-denominated-negotiable-instruments-of-deposit-nid.html
investments,investments,sukuk,https://www.cimb.com.my/en/personal//en/personal/day-to-day-banking/investments/sukuk.html
